company,activity,type,source,alternatives
https://www.bioderma.com/,2,beauty and cosmetic,https://thedermreview.com/brands-that-test-on-animals/," https://houseofmakeup.com/  , https://basilskincare.in   , https://miva.co.in/ , www.soultree.in  , https://rubysorganics.in/ , www.lotusherbals.com ,  http://justherbs.in , www.kamaayurveda.com , www.auravedic.com"
https://www.blistex.com/,2,beauty and cosmetic,https://thedermreview.com/brands-that-test-on-animals/," https://houseofmakeup.com/  , https://basilskincare.in   , https://miva.co.in/ , www.soultree.in  , https://rubysorganics.in/ , www.lotusherbals.com ,  http://justherbs.in , www.kamaayurveda.com , www.auravedic.com"
https://www.bobbibrown.in/,2,beauty and cosmetic,https://thedermreview.com/brands-that-test-on-animals/," https://houseofmakeup.com/  , https://basilskincare.in   , https://miva.co.in/ , www.soultree.in  , https://rubysorganics.in/ , www.lotusherbals.com ,  http://justherbs.in , www.kamaayurveda.com , www.auravedic.com"
https://in.burberry.com/,2,beauty and cosmetic,https://thedermreview.com/brands-that-test-on-animals/," https://houseofmakeup.com/  , https://basilskincare.in   , https://miva.co.in/ , www.soultree.in  , https://rubysorganics.in/ , www.lotusherbals.com ,  http://justherbs.in , www.kamaayurveda.com , www.auravedic.com"
http://www.calvinklein.us/en,2,fashion,https://thedermreview.com/brands-that-test-on-animals/," https://houseofmakeup.com/  , https://basilskincare.in   , https://miva.co.in/ , www.soultree.in  , https://rubysorganics.in/ , www.lotusherbals.com ,  http://justherbs.in , www.kamaayurveda.com , www.auravedic.com"
https://www.clairol.com/en-US/home,2,beauty and cosmetic,https://thedermreview.com/brands-that-test-on-animals/," https://houseofmakeup.com/  , https://basilskincare.in   , https://miva.co.in/ , www.soultree.in  , https://rubysorganics.in/ , www.lotusherbals.com ,  http://justherbs.in , www.kamaayurveda.com , www.auravedic.com"
https://www.chanel.com/us/,2,fashion,https://thedermreview.com/brands-that-test-on-animals/," https://houseofmakeup.com/  , https://basilskincare.in   , https://miva.co.in/ , www.soultree.in  , https://rubysorganics.in/ , www.lotusherbals.com ,  http://justherbs.in , www.kamaayurveda.com , www.auravedic.com"
https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwizqu6isoT0AhWNr5YKHWSoBwEYABAAGgJ0bA&ohost=www.google.com&cid=CAESQeD2xwS_xkzsy_S9jwXeBPMNhfd2P68pTL2Olt1KaRKzAQVWV3pQV3vp7eHvWdb9qv9By-VWybtgxnWbyFB0e1Ez&sig=AOD64_1crVjexmLA-jIg2SBkSSFNaQibBQ&q&adurl&ved=2ahUKEwja8OKisoT0AhXCXSsKHeLGDwkQ0Qx6BAgDEAE,2,beauty and cosmetic,https://thedermreview.com/brands-that-test-on-animals/," https://houseofmakeup.com/  , https://basilskincare.in   , https://miva.co.in/ , www.soultree.in  , https://rubysorganics.in/ , www.lotusherbals.com ,  http://justherbs.in , www.kamaayurveda.com , www.auravedic.com"
https://www.clearasil.us/,2,beauty and cosmetic,https://thedermreview.com/brands-that-test-on-animals/," https://houseofmakeup.com/  , https://basilskincare.in   , https://miva.co.in/ , www.soultree.in  , https://rubysorganics.in/ , www.lotusherbals.com ,  http://justherbs.in , www.kamaayurveda.com , www.auravedic.com"
https://www.coppertone.com/,2,beauty and cosmetic,https://thedermreview.com/brands-that-test-on-animals/," https://houseofmakeup.com/  , https://basilskincare.in   , https://miva.co.in/ , www.soultree.in  , https://rubysorganics.in/ , www.lotusherbals.com ,  http://justherbs.in , www.kamaayurveda.com , www.auravedic.com"
